AxIS Spike File,D:\hMO testing\Raw data\SNCAND34391H_Feb132020\Extracted raw data\Feb132020_ND3439SNCA_WTest3_1h\Feb132020_ND3439SNCA_WTest3_1h(000)(000).spk
File Type,24-well

Analysis Start,0.000000
Analysis End,600.000000
Active Electrode Criterion (spks/min), 5
Remove Coincident Artifacts,False

Electrode Burst Settings,
    Algorithm,ISI Threshold,
    Min # of Spikes,5.000000
    Max ISI (ms),100.000000

Network Burst Settings,
    Algorithm,ISI Threshold,Adaptive,
    Min # of Spikes,5.000000
    Min # of Electrodes (%),20.000000
Synchrony Settings,
    Synchrony Window,20.000000

Evoked Analysis Settings,
    Events,0 to 0
    Peri-stimulus Window Start (ms),0.000000
    Peri-stimulus Window End (ms),100.000000
    Bin Size (ms),1.000000

Well Averages,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,C3,C4,C5,C6,D1,D2,D3,D4,D5,D6,
Treatment/ID,,,,,,,,,,,,,,,,,,,,,,,,
Activity Metrics
    Network Normalized Duration IQR,0.087011,0.816487,0.355286,0.300217,0.480895, ,0.983425,0.279060,0.240063,0.155618, , ,0.823804,0.127918,0.285235, ,0.435621, , ,0.158507,0.540848,0.230159,0.365274,0.362055
Synchrony Metrics
    Area Under Normalized Cross-Correlation,0.119821,0.038424,0.205185,0.114046,0.023935,0.000000,0.384402,0.141703,0.148069,0.204317,0.000000,-0.000000,0.013191,0.150134,0.163954,0.122873,0.132201,0.004584,0.498483,0.165842,0.073172,0.118579,0.156118,0.115854
    Area Under Cross-Correlation,0.531236,0.670861,7.052431,2.914181,0.013264,0.000000,16.608625,2.053972,1.833125,1.717931,0.000000,-0.000000,0.015208,2.178722,2.442931,0.000431,0.372681,0.000847,0.003111,1.897819,0.615056,3.465583,6.834611,2.327167
    Full Width at Half Height of Normalized Cross-Correlation,37.000000,49.000000,40.000000,33.000000,22.000000, ,63.000000,53.000000,38.000000,52.000000, ,1.000000,55.000000,62.000000,45.000000,1.000000,35.000000,27.000000,2.000000,66.000000,45.000000,29.000000,36.000000,44.000000
    Full Width at Half Height of Cross-Correlation,287.000000,386.000000,277.000000,306.000000,95.000000, ,246.000000,254.000000,274.000000,215.000000, ,1.000000,345.000000,214.000000,213.000000,1.000000,250.000000,61.000000,2.000000,329.000000,229.000000,277.000000,358.000000,274.000000
    Synchrony Index,0.365917,0.355885,0.397813,0.236813,0.097712,0.000000,0.821032,0.410943,0.450745,0.548090,0.000000,0.002046,0.073387,0.431902,0.422254,0.524091,0.491325,0.174306,0.847508,0.664655,0.195572,0.485559,0.533250,0.332793
    Kreuz SPIKE Distance,0.515368,0.059796,0.480824,0.286459,0.285732,0.000000,0.565722,0.330390,0.461309,0.853809,0.000000,0.076133,0.143581,0.405818,0.681088,0.197842,0.286927,0.017426,0.833332,0.401080,0.339463,0.247695,0.344782,0.466001
Evoked Metrics
    Number of Trials, , , , , , , , , , , , , , , , , , , , , , , , 
    Evoked Spike Count - Avg, , , , , , , , , , , , , , , , , , , , , , , , 
    Evoked Spike Count - Std, , , , , , , , , , , , , , , , , , , , , , , , 
    Evoked Response Probability, , , , , , , , , , , , , , , , , , , , , , , , 
    Evoked First Spike Latency (ms), , , , , , , , , , , , , , , , , , , , , , , , 
    Evoked Jitter (ms), , , , , , , , , , , , , , , , , , , , , , , , 

Measurement,
Activity Metrics
    Number of Spikes
    Mean Firing Rate (Hz)
    ISI Coefficient of Variation
Electrode Burst Metrics
    Number of Bursts
    Burst Duration - Avg (sec)
    Burst Duration - Std (sec)
